Keyword,Category,URL,Title,Date Published,Date of Implementation,Summary,Text,Relevant,Private/public
Education,N/A,http://www.panarmenian.net/eng/politics/news/19411/,Level of Bilateral Relations between Armenia and France Very High,9/30/06,N/A,The level of bilateral relations between France and Armenia have grown due to developments by both parties in bilateral relations and higher education.,"The level of bilateral relations between Armenia and France is very high, RA President Robert Kocharian said at a joint press conference with French leader Jacques Chirac. In his words, during a tete-a-tete meeting they discussed the whole scope of issues both states are interested in. ""A special emphasis was placed on the development of bilateral relations and higher education sector. The existence of the French University in Armenia is the evidence of our interest in each other. We also discussed the Karabakh problem with Jacques Chirac, who is perfectly aware of the situation,"" Robert Kocharian remarked.



The Armenian leader also said that the role of the Armenian community of France was emphasized during the meeting. ""The Armenian community makes a great contribution to the development of bilateral relations. I know that many people came to Armenia to take part in the opening ceremony of the Square of France in Yerevan. This is a significant event for us,"" the RA President said.",no,N/A
Road,N/A,http://www.panarmenian.net/eng/news/171585/,17 killed as vehicle falls into gorge in northern India,10/21/13,N/A,17 people were killed when a truck fell into a gorge.,"Seventeen people returning from a wedding were killed when the truck they were riding in fell into a gorge in northern India, police said Monday, Oct 21, according to the Associated Press.
Police officer Dinesh Pant said 28 others were injured in the accident late Sunday near Kaladungi, a town about 400 kilometers (250 miles) northeast of New Delhi.
The driver lost control of the vehicle after the brakes failed on a mountainous road in Uttarakhand state, Pant said. The driver was among those killed.
The bride and the groom were traveling in another vehicle and were unhurt, he said.
India has the world's deadliest roads, with more than 110,000 people killed annually. Most crashes are blamed on reckless driving, poorly maintained roads and aging vehicles.
On Oct 3, a cargo truck crashed into two minivans packed with laborers headed to work early in northeast India, killing 28 people, including 13 children. Another 20 people were injured, some critically.
In early Sept, 13 people were killed when a bus fell into a gorge after hitting a roadside tree in southern India. The accident occurred in the hilly Malappuram area of Kerala state. Another 25 people were injured in the accident, which happened after the driver lost control of the bus.",no,N/A
Road,B,http://www.panarmenian.net/eng/news/194092/,Parliament debates on $150 million loan agreement with EDB,6/22/15,6/22/15,Armenia's National Assembly discussed an agreement with the Eurasian Development bank to get 150 million dollars to finance construction of the North-South Transport Corridor. The agrement was signed originally in April 14.,"At an extraordinary session on Monday, June 22, Armenia’s National Assembly discussed the draft agreement with the Eurasian Development Bank (EDB) on provision of $150 million investment to finance construction of the North-South Transport Corridor, ARKA reports.
The agreement was signed on April 14 this year by Armenia's Minister of Transport and Communication Gagik Beglaryan and EDB chairman Dmitry Pankin.
Deputy Minister of Transport and Communication Artur Arakelyan said the loan will be granted by the EurAsEC Anti-Crisis Fund for a period of 20 years with a 5-year grace period and a fixed interest rate of 1.65%.
The $150 million loan will be used to finance construction of a 20.5 - kilometer section of the Corridor from the town of Agarak to Kajaran in the southern Armenian province of Syunik.
The North-South project aims to improve Armenia’s main 556 - kilometer corridor as part of a broader thrust to improve connectivity, as well as boost trade, development opportunities in the Caucasus and throughout Central Asia.
The transport corridor will stretch from the southern Armenian town of Meghri (on the border with Iran) to Bavra in the north (on the border with Georgia).
The North-South Transport Corridor will enable Armenia to alleviate the consequences of the blockade imposed by Azerbaijan and Turkey. According to Armenian officials, the construction of the Corridor will cost some $1.5 billion.
The Armenian government had earlier signed a $500 million framework loan agreement with the Asian Development Bank to finance the project.
According to EDB, the implementation of this project will cut transport costs on the rehabilitated road section by 50%, increase the average speed of traffic by 40%, reduce operating costs for maintaining the highway in good condition, create about 1,750 new jobs, boost transit traffic through the territory of Armenia from India, Iran and Pakistan and help partially overcome the consequences of Armenia’s blockade.
Indirect effects will also be observed, such as increased access of farmers from remote areas to the consumer markets, development of retail and warehouse infrastructure in the central part of the country. It will also make basic health and educational centers more accessible to the population of remote regions.",yes,public
Road,N/A,http://www.panarmenian.net/eng/news/194204/,"Josh Brolin, Maggie Gyllenhaal join star-studded indie “Three Seconds”",6/25/15,N/A,Josh Brolin and Maggie Gyllenhaal are in talks to join a movie called Three Seconds. This is about an undercover FBI agent who needs to save himself after being abandoned mid-mission.,"Oscar nominees Josh Brolin and Maggie Gyllenhaal and “The Newsroom’s” Olivia Munn are in talks to join Luke Evans and David Oyelowo in the star-studded indie movie “Three Seconds,” TheWrap has learned.
Otto Bathurst (“Peaky Blinders”) is directing the film, which is based on the bestselling book by Swedish writers Anders Roslund and Borge Hellstrom that was adapted by Matt Cook and Rowan Joffe.
“Three Seconds” follows a man (Evans) who’s forced to go undercover in a prison as part of an FBI operation and must then escape on his own after he’s abandoned mid-mission.
Gyllenhaal will play the FBI agent who has a history with Evans’ character, while Brolin will play her supervisor. Rising star Munn will provide the film’s heart and soul as Evans’ wife and the mother of his child.
Thunder Road’s Basil Iwanyk is producing with Ollie Madden of Shine Pictures, while Erica Lee will serve as executive producer. Kevin Frakes and Raj Singh will finance under their PalmStar Media banner.
“Three Seconds” marks a reunion between Brolin and Iwanyk, who recently worked together on Denis Villeneuve‘s “Sicario,” which received awards buzz out of Cannes. Brolin just wrapped the Coen brothers’ next movie “Hail, Caesar!” and will soon be seen in Universal’s “Everest,” which is also getting strong buzz in industry circles. He’s represented by CAA.
Gyllenhaal is coming off the critically acclaimed miniseries “The Honourable Woman.” She most recently starred opposite Michael Fassbender in “Frank.”
Munn previously co-starred in “Magic Mike” and “Iron Man 2,” and her feature career is preparing to take off with turns in the upcoming sequels “Zoolander 2,” “Ride Along 2” and “X-Men: Apocalypse.”",no,N/A
Road,N/A,http://www.panarmenian.net/eng/culture/news/70529/,Play about Armenian and Latin American family to be staged in NY,5/21/11,6/7/11,A limited run of Night Over Erzinga will be played. The play is about three generations of an Armenian and Latin American family.,"The Lark Development Center will present a limited run of Adriana Sevahn Nichols' Night Over Erzinga, a memory play about three generations of an Armenian and Latin American family, which will begin June 7.
The play is being developed as part of the Middle East America: A National New Plays Initiative, an endeavor uniting the Lark, Golden Thread Productions in San Francisco and Silk Road Theatre Project in Chicago, playbill.com reported.
Daniella Topol (Monster at the Door, Pool Boy, Lascivious Something) will direct Night Over Erzinga, which will continue through June 12 at the Lark.
The cast will include Mari H. Bijimenian, Matt Boston, Teddy Canez, Gerardo Rodriguez, Juliet Tanner, Alok Tewari, Ching Valdes-Aran and Brigitte Viellieu-Davis.
According to the Lark, ""Night Over Erzinga tells the story of how an Armenian and Latin American family can reach through time, reclaim their stories, and bring their children 'home.' Spanning two continents and three generations, this memory play reunites ancestors with the living, as they all yearn to make peace with the past.""
Nichols has toured the country with her award-winning solo play Taking Flight, which premiered at The Kirk Douglas Theatre in 2006. Her work has also been developed and performed at the Sundance Theater Lab, South Coast Repertory, The Mark Taper Forum, The Goodman Theatre, LA Theatre Works, The Fountain Theatre, INTAR, Rio Hondo College and Dixon Place NY.",no,N/A
Road,N/A,http://www.panarmenian.net/eng/news/217751/,VW gets preliminary approval for $14.7 bn settlement over scandal,7/27/16,7/27/16,Volskwagen has recieved preliminary approval agreement with the US for diesel cheat devices and lying about it.,"The big $14.7-billion settlement VW reached with U.S. regulators over the company's diesel cheat devices and lies has taken a step towards completion. The company announced on Tuesday, July 26 that the United States District Court overseeing the case has given his preliminary approval, AutoBlog reports.
That means that VW and Audi will now start sending out official notices to owners of affected vehicles spelling out what happens next.
The Plaintiffs' Committee for Volkswagen ""Clean Diesel"" Litigation said it was pleased with the approval, as you can read below. The next official step will happen at the final approval hearing on October 18, 2016.
As a reminder, the affected vehicles involved with this settlement include the following with the 2.0-liter diesel engine: 2013-2015 VW Beetle, 2010-2015 VW Golf, 2009-2015 VW Jetta, 2012-2015 VW Passat, 2010-2013 and 2015 Audi A3.
There's still no fix approved to keep affected vehicles on the road and no agreement on what should happen to affected 3.0-liter vehicles.",no,N/A
Road,A,http://www.panarmenian.net/eng/society/news/56398/,Armenian President pays working visit to Gegharkunik,11/6/10,N/A,Armenian President Serzh Sargsyan observed contruction on the Sevan-Lchashen road sector while visiting Gerharkunik.,"During a working visit to Gegharkunik province, Armenian President Serzh Sargsyan observed the construction works at Sevan-Lchashen road sector and was briefed on Lake Sevan problems, specifically cleaning of waterlogged parts of the lake.
The President was accompanied by Minister of Territorial Administration Armen Gevorgyan, Minister of Transport and Communication Manuk Vardanyan, Minister of Nature Protection Aram Harutyunyan and other officials.",yes,public
Road,N/A,http://www.panarmenian.net/eng/world/news/20064/,Another Armenian Citizen Killed in Moscow,11/23/06,N/A,"An Armenian was found dead after being found by the Russian policy. According to them there was a man stabbed in the car, the car which seems to be reported because it was fleeing police.","Pursuit of a car with put out headlights in Moscow ended in death of one person, a second corps was discovered in the car that was fleeing away from the police. The Timiryazev inter-regional Prosecutor's Office has filed a criminal case on the fact of murder of Armenian citizen, whose corpse was discovered in the car on Dmitrovskoye highway on the night of Thursday. According to the investigation data, at about 2 a.m. motorway patrol service was trying to stop the Opel car in the north of the capital. The driver did not obey to police order and tries to flee. As a result Opel car ran into a car, the driver of which died from injuries on the spot. Then the haunted car run into a manifold and also stopped. The driver ran out of the car and managed to hide from police officers. A corps of a stabbed man was found in the car - the owner of the Opel car Armenian citizen Ashot Isakhanyan born in 1977 and registered in Moscow region, reports Interfax. Timiryazev inter-regional Prosecutor's Office has filed a criminal case on part 1 of article 105 (murder) and part 2 of article 264 (braking the rule of the road resulting in human casualty) of the Russian Criminal Code.",no,N/A
Road,N/A,http://www.panarmenian.net/eng/politics/news/30637/,Ankara signals to Obama: don't meddle in our relations with Armenia,4/23/09,4/24/09,Turkologist Artak Shakaryan tells the US not to interfere with Armenian-Turkish relations and do not acknolwedge the Armenian genocide.,"It is not surprising that statement on road-map is made a day before April 24, when Armenians of the world commemorate victims of the Armenian Genocide, an Armenian expert said. 



""This is a message to U.S. President Barack Obama: do not meddle in Armenian-Turkish relations, turkologist Artak Shakaryan told PanARMENIAN.Net ""This way Turkey signaled to Barack Obama and leaders of other nations to stop recognition of the Armenian Genocide"" Artak Shakaryan said. 



Armenian turkologist is sure that no obvious progress will be observed in Armenian-Turkish relations. 



""It is possible that for the return football game between Armenian and Turkish teams Ankara may decide to open the border for a week. But that will be a political gesture only,"" Shakaryan said.",no,N/A
Road,N/A,http://www.panarmenian.net/eng/news/196334/,IS militants destroy Palmyra's ancient temple,8/24/15,8/23/15,ISIS has blown up Palmyra's ancient temple of Baalshamin. This is part of ISIS's continuous attacks on historical sites and artifacts.,"Islamic State militants have destroyed Palmyra's ancient temple of Baalshamin, Syrian officials and activists said, according to BBC News.
Syria's head of antiquities was quoted as saying the temple was blown up on Sunday, Aug 23. The British-based Syrian Observatory for Human Rights reported that it happened one month ago.
IS took control of Palmyra in May, sparking fears the group might demolish the UNESCO World Heritage site. The group has also destroyed several ancient sites in Iraq.
IS ""placed a large quantity of explosives in the temple of Baalshamin today [Sunday] and then blew it up causing much damage to the temple,"" Syrian antiquities chief Maamoun Abdulkarim told AFP.
""The cella (inner area of the temple) was destroyed and the columns around collapsed,"" he said.
Residents who had fled from Palmyra also said IS had planted explosives at the temple, although they had done it about one month ago, according to the Syrian Observatory for Human Rights.
Palmyra is famed for its well-preserved Greco-Roman ruins. The temple built nearly 2,000 years ago was primarily a Roman era artefact. It was dedicated to the Phoenician god of storms and fertilizing rains.
Last month, IS published photos of militants destroying what it said were artefacts looted at Palmyra.
A week ago, it emerged that the archaeologist who had looked after Palmyra's ruins for four decades had been beheaded by the militant group. Abdulkarim said the 81-year-old had refused to tell IS where some treasures had been hidden to try and save them.
The group has also published photos of what they said was the destruction of two Islamic shrines near Palmyra, which they described as ""manifestations of polytheism"".
The modern city of Palmyra - known locally as Tadmur - is situated in a strategically important area on the road between the Syrian capital, Damascus, and the eastern city of Deir ez-Zor. Nearby, the monumental ruins of the ancient city rise out of the desert. UNESCO and others consider the site one of the most important cultural centers of the ancient world.
In January, IS ransacks the central library in the Iraqi city of Mosul, burning thousands of books.In February, a video emerges showing the destruction of ancient artefacts at the central museum in Mosul. In March, IS uses explosives and bulldozers on Nimrud, one of Iraq's greatest archaeological treasures. Shortly after they destroy ruins at Hatra.
",no,N/A
Subsidy,N/A,http://www.panarmenian.net/eng/news/140882/,Lenovo debuts mobile touchscreen monitor,1/12/13,N/A,Lenovo has debuted a nobile touch screen monitor with pen input.,"Lenovo debuted a rather interesting mobile touchscreen monitor with pen input support this past week at CES 2013, TG Daily reports.
Dubbed ThinkVision LT1423p, the display boasts a 13.3-inch viewable image and weighs slightly less than 1.6 pounds. This makes it an easy device to carry on the road for someone who prefers working from an external monitor, rather than a standard notebook screen.
The exact ship date for the display is unknown with Lenovo saying sometime in Q2. The display will be available in both a wireless and wired version. The wireless version promises 10 hours of battery life per charge, while the wired version connects to the host computer via a USB cable for power.
Both versions of the portable display feature the same 1600 x 900 resolution, with full support for pen-based input, which also covers handwriting with 256-degrees of pressure sensitivity. The wired version is tipped to cost $349 while the wireless is priced at $449.
Lenovo also showcased its new ThinkPad Helix at CES 2013. This Ultrabook is powered by an Intel Core vPro processor and features a full HD 11.6-inch display. The machine offers multiple storage and memory capacity options, along with five button click pad and optional 4G broadband. Plus, the 11.6-inch screen can be flipped around, turning the device into something akin to a tablet.
The Helix - which supports NFC technology - is expected to be available in February with an $1499 starting price. Odds are this machine will be available on mobile networks with a subsidy, significantly reducing the cost in exchange for a long-term contract.",no,N/A
Subsidy,N/A,http://www.panarmenian.net/eng/news/75409/,Iran hikes power supplies to neighbor countries,8/5/11,3/21/11,Iran has hiked exports of power supplies to neighboring countries by 21.67%. The implementation of these has reduced domestic electricity consumption and annual growth in electricity with neighboring countries. This includes Armenia.,"Iran has hiked exports of power supplies to the neighboring countries by over 21.67% since the beginning of the new Iranian year (started March 21), the country’s Energy Ministry announced.
According to the report, Iran exported over 2,701 gw/h of electricity to the neighboring countries since the start of the current Iranian year.
With the implementation of subsidy reforms law, not only domestic electricity consumption has reduced but also annual growth in electricity demand has been checked, thus paving the way for further export of electricity to the neighboring countries, Fars News Agency reported.
Iran has power swap deals with Armenia, Pakistan, Turkmenistan, Turkey, Azerbaijan, Iraq, Afghanistan and the autonomous region of Nakhichevan. The rate of exchanges hit 1,332 megawatts on August 2.",no,N/A
Subsidy,N/A,http://www.panarmenian.net/eng/news/174708/,Tunisian PM resigns to make way for caretaker government,1/9/14,1/9/14,Tunisia's PM Ali Larayedh has resigned to make room for a caretaker government. This is after Tunisian's uprising three years ago; the people hope to create a full democracy in the face of the instability. ,"Tunisia's Islamist Prime Minister Ali Larayedh resigned on Thursday, Jan 9, to make way for a caretaker government in an agreement with secular opponents to complete the country's transition to democracy, according to Reuters.
Three years after its uprising against autocrat Zine el-Abidine Ben Ali, Tunisia is in the final stages of establishing a full democracy before new elections that would be a rare bright spot in an unstable region.
Tunisia's new premier, technocrat Mehdi Jomaa, must tackle subsidy cuts sought by international lenders to curb the small North African country's deficit and also confront a growing threat from Islamist militants.
Illustrating the continued fragility, troops in the southern city of Tatouine fired into the air and police used tear gas on Thursday to disperse protests over economic hardship.
To end months of political crisis, Larayedh's moderate Islamist party Ennahda agreed late last year to a deal to hand over to an independent cabinet led by Jomaa, who will govern until the election.
""I have just handed my resignation to the president,"" Larayedh told reporters. ""The president will appoint the new prime minister, Mehdi Jomaa, shortly and he will present his new cabinet in the next few days.""
One of the most secular countries in the Arab world, Tunisia has struggled with divisions over the role of Islam and the rise of Islamist radicals since the uprising in 2011 that inspired other revolts in the region.
",no,N/A
Subsidy,N/A,http://www.panarmenian.net/eng/world/news/19467/,Full Senate Blocks US Subsidy for Kars-Baku Railway,10/4/06,10/4/06,The Armenian National Committee of America welcomed the adoption by the US from funding a railroad between Turkey and Georgia which would go around Armenia.,"The Armenian National Committee of America welcomed the adoption by the US Senate of legislation protecting US taxpayers from funding an unnecessary and costly proposed railroad between Turkey and Georgia that would, if built, circumvent Armenia. The Senate, during its final day in session before the November 7 mid-term elections, passed the measure by unanimous consent as part of its reauthorization of the Export-Import Bank. On September 21 the Senate Banking Committee, during its consideration of the Export-Import bill, had agreed to add the railway language, offered initially as an amendment by Sen. Robert Menendez (D-NJ), to the larger measure. The Menendez Amendment was ultimately accepted as a ""manager's amendment"" by Committee Chairman Richard Shelby (R-AL) and Ranking Democrat Paul Sarbanes (D-MD) and unanimously approved by the panel. ""Armenian Americans welcome the Senate's strong stand against the efforts of Turkey and Azerbaijan to institutionalize their blockades of Armenia and Nagorno Karabakh,"" said ANCA Executive Director Aram Hamparian, reports asbarez.com.",no,N/A
Subsidy,N/A,http://www.panarmenian.net/eng/news/175427/,"""Passengers"" Keanu Reeves sci-fi lands at Germany's Studio Babelsberg",1/31/14,N/A,Keanu Reeves' movie Passengers has released. The movie is about Reeves and Rachel McAdams as a futuristic Adam and Eve in a space colony.,"Keanu Reeves' much-hyped upcoming sci-fi feature Passengers has landed at Germany's Studio Babelsberg, The Hollywood Reporter said.
The big-budget space romance – which features Reeves and Rachel McAdams as a futuristic “Adam and Eve” – is deep into pre-production. It is scheduled to begin shooting at Babelsberg, just outside Berlin, this spring.
The plot has Reeves as space colonist Jim Preston, on board a colony ship carrying 5,000 sleeping passengers to a new world, who accidentally awakens. Lonely, he wakes up Aurora (McAdams), and they fall in love. They eventually realize it is up to them to save the entire ship.
Developed by Reeves and Stephen Hamel at their Company Films, the script was written by Jon Spaihts (Prometheus). The film will be the feature directing debut of Irish TV director Brian Kirk (Game of Thrones, Boardwalk Empire). Passengers has already received $1.35 million (€1 million) in financing from German state subsidy agency Medienboard Berlin-Brandenburg.",no,N/A
Subsidy,N/A,http://www.panarmenian.net/eng/news/94311/,Iran confirms plans to boost electricity exports,2/17/12,3/21/11,"Iran plans to increase electricity exports to neighboring countries, including Syria and Lebanon.","Iran plans to increase its electricity exports to the neighboring and regional states, including Syria and Lebanon, Iranian Minister of Energy Majid Namjou announced.
According to Farns News Agency, speaking to reporters on the sidelines of a meeting with his Syrian counterpart Imad Mohammad Deeb Khamis, Namjou said Iran will export electricity to Syria and Lebanon through Iraq's power grid.
He said Iran is capable of exporting 1,000 megawatts (MW) of power to Iraq.
He added that Syria has also demanded 500 MW of electricity from Iran.
""Iran is also able to export 50-100 MW of electricity to Lebanon through Syria,"" Namjou said.
Earlier this month, Iran's Energy Ministry announced that the country has exported 7,349 gw/h of electricity to other countries in the first 11 months of the current Iranian year (March 21, 2011 to February 19, 2012) which shows a 27% increase compared with the same period last year.
Iran exported 7,349 gw/h of electricity during the said period this year, up from 5,769 gw/h last year.
With the implementation of subsidy reforms law, not only domestic electricity consumption has reduced but also annual growth in electricity demand has been checked, thus paving the way for further export of electricity to the neighboring countries.
Iran has power swap deals with Armenia, Pakistan, Turkmenistan, Turkey, Azerbaijan, Iraq, Afghanistan and the autonomous region of Nakhichevan.",no,N/A
Subsidy,A,http://www.panarmenian.net/eng/economy/news/38752/,2010 Budget in agricultural sphere to comprise over AMD 9 billion,11/6/09,N/A,Armenia's budget in argiculture has increased.,"Armenia's 2010 Budget in agricultural sphere will comprise AMD 9 billion 3 million and 956 thousand which is an AMD 4 billion 810 million decrease compared to 2009, Agriculture Minister Gerasim Alaverdyan said.



To ensure stable anti-epidemic situation in the country, it is planned to launch a cattle vaccination program which will cost AMD 1 billion. 



It is also planned to launch an AMD 1 billion and 100 million land subsidy program for 315 thousand 425 communities of highland regions.



The 2010 cattle development program (which costs AMD 344 million) will be implemented in conjunction with Japanese Government.",yes,public
Municipality,D,http://www.panarmenian.net/eng/news/238758/,Armenian village of Baghanis under intensive Azeri shelling,04/29/0207,Tavush province,Azeris targeted  Tavush province village,"On the evening of April 28, the border village of Baghanis, Tavush province was subjected to intensive Azerbaijani shelling, Baganis Municipality told PanARMENIAN.Net
The 2-hour shelling led to no casualties, with the village suffering material damage only.
Recent days saw increased cases of Azerbaijan shelling Armenia’s settlements, with Baghanis interstate road targeted on April 25.",yes,N/A
Municipality,G,http://www.panarmenian.net/eng/news/166097/," Protest against transport fare increase

Transport price hike: protesters pelt Mayoral adviser with coins",7/19/13,Yerevan,protests against spike in transportation fare,"A rally is ongoing outside Yerevan Municipality to protest the transportation price hike.
On Thursday, July 18 a 50% increase in public transport price was confirmed, with passengers to be charged AMD 150, up from AMD 100.
During the rally, the protesters pelted the Municipality entrance with 50-dram coins, further trying to block the door; they however, were forced back by the police.
Mayoral adviser Albert Gevorgyan appeared in front of the crowd to negotiate yet was induced to return to Municipality building, having got his share of coins.
“We won’ comply with the unfounded price hike, we’ll continue to struggle for the resolution to be abolished,” the demonstrators said in their Facebook post.",yes,Public
Municipality,A,http://www.panarmenian.net/eng/society/news/39777/,Yerevan teems with minibuses,27/09/2009,Yerevan,new transportation routes,"Armenia is one of few countries with electricity surplus, which can be used to ease surface traffic, according to Armen Poghosyan, chairman of Consumers' Association of Armenia. 



""Our monitoring showed that passenger transportation by minibuses accounts for 80 per cent of all passenger traffic in Yerevan,"" he told a news conference on Friday. ""The government should make efforts to change the situation,"" he said.   

 

Representative of the Yerevan municipality Karen Hakobyan, for his part, commented, ""We cannot change mentality of the people and force them to use buses or trolleybuses. City municipality is developing a new transportation routes project which will require 800 buses.""",yes,Public
Municipality,A,http://www.panarmenian.net/eng/news/136821/,3D screens to be installed in Yerevan during Christmas holidays,12/11/12,Yerevan,"3D screens installed, Christmans Celebration Yerevan","Illuminated fountains will be installed in Republic and Aznavour Squares, completing the unprecedented New Year decoration of the Armenian capital, the head of Yerevan Municipality’s External Design and Advertising Department said.
“The fountains will become operative on December 20, along with a 32-meter-high Christmas tree to be adorned with 50000 illuminated decorations,” Araz Baghdasaryan told a news conference.
“Two 3D screens will be installed, one of them in Liberty Square, where a children’s playground will be built to operate from Dec 22 to Jan 13. A number of 2D screens will also be installed,” he said.",yes,public
Municipality,A,http://www.panarmenian.net/eng/society/news/69431/,3000 veterans of Great Patriotic War reside in Armenia at present,5/7/11,Yerevan,veterans offered monetary rewards,"At present, about 3000 Great Patriotic War veterans reside in Armenia, with the youngest of them aged 86.
As the head of the Union of Armenia’s Veterans, colonel Simon Yesayan told a PanARMENIAN.Net reporter, the number of veterans is decreasing annually.
According to Mr. Yesayan, this year, On May 8, the veterans will visit Yerablur the memorial to Artsakh war soldiers. In the morning of May 9, the veterans will lay wreaths at the tomb of the Unknown Soldier in Yerevan. This year, similarly to previous ones, a field dinner for veterans will be organized in Victory Park.
On May 10, Yerevan municipality will grant monetary awards to the veterans.",yes,public
Municipality,N/A,http://www.panarmenian.net/eng/world/news/30529/,Turkish NGOs protest Armenia-Turkey football match in Kaiseri,4/20/09,Turkey,,"While Kaiseri prepares to host a World Cup qualifier between Armenian and Turkish national football teams on October 14, local NGOs launched a15-day collection of signature to protest the event, CNN turk reported. 



Results of the campaign will be submitted to the parliament and football federation of the country. 



Kaiseri is the native city of Turkish president Abdullah Gul and organization of return game between Armenian and Turkish teams is municipality's initiative.",no,N/A
Municipality,N/A,http://www.panarmenian.net/eng/world/news/39768/,Kurdish names featured at road signs in Diyarbakir,11/27/09,"Turkey, Diyarbakir",,"The Diyarbakir Metropolitan Municipality, controlled by the Democratic Society Party, or DTP, has replaced signs on roads that lead to villages with new signs that feature their Turkish and Kurdish names together. The move came amid the government's democratic initiatives, which suppose granting Kurds some civil rights.



Besir Atalay, minister of internal affairs made a statement recently about the government remaining positive about displaying the Kurdish names of villages. The letters of ""x"", ""q"" and ""w,"" which are not featured in the Turkish alphabet, can now be seen on the signs, Hurriyet Daily News reported.",no,N/A
Municipality,N/A,http://www.panarmenian.net/eng/news/169063/,Palestinian leaders accuse Israel of undermining Peace efforts,8/27/12,Palestine,,"Palestinian leaders have accused Israel of dealing a “direct blow” to peace efforts after Israeli municipal authorities in Jerusalem decided to allocate more than £11m for the expansion of a settlement in East Jerusalem, which Palestinians see as their future capital, Belfast Telegraph said.
The decision to fund infrastructure for 1,600 units at Ramat Shlomo settlement, situated on land expropriated from Palestinians, was taken on Sunday, August 25 evening during a meeting of the Jerusalem municipality finance committee.
At the same meeting, the municipality decided to join Prime Minister Benjamin Netanyahu’s office and Israel’s tourism ministry in allocating a total of £3.6m to the City of David National Park, an archaeological site that dovish Israelis view as the spearhead of an effort to transform the Palestinian neighbourhood of Silwan in East Jerusalem into a Jewish area.
Hanan Ashrawi, a spokeswoman for the PLO, said that plans to expand Ramat Shlomo “are a continuation of Israel’s policy of carrying out a flagrant ethnic cleansing of East Jerusalem, are a total disregard of US Secretary of State John Kerry’s initiative and a direct blow to peace.” An official in Netanyahu’s office disputed this. He claimed that Ramat Shlomo would be under Israeli rule in any peace agreement.
“It is time we had a more sensible discussion about building in Jerusalem,” he said.
Yonatan Mizrachi, head of the Emek Shaveh organisation of dovish Israeli archaeologists, criticised the City of David move. “The funding means that the government views this as part of Israel…” he said. “There is a gap between what Israel is saying, that ‘we’re negotiating’, and what it is doing. The Prime Minister is the one talking about peace and at the same time investing money like this.”",no,N/A
Built,N/A,http://www.panarmenian.net/eng/news/182506/,"Opera Beta 25 available, adds full bookmark support",9/16/14,world,,"Opera has released Opera Beta 25, which sees the Opera Next channel renamed as part of what could be a landmark release for the alternative web browser when it hits final release next month. The headline new feature is the overdue implementation of bookmarks into the browser, BetaNews reports.
It’s also joined by the first Linux beta build since Opera relaunched last year, plus offers a redesigned Start page, integrated PDF viewer and support for web notifications direct from the Windows or Mac desktop.
By far the most significant feature has to be added support for bookmarks, which has been the number one feature request from users since the new Chromium-based version of Opera debuted back in July 2013.
Users can now add bookmarks via the heart button to the right of the main Address bar -- once clicked, users get a choice of images, plus the opportunity to file the bookmark directly into a folder (new or existing). Sadly, Opera has still to implement an import option for quickly transferring bookmarks from other platforms, BetaNews says.
Existing bookmarks can be accessed from the Bookmark Manager, accessible via the Opera menu or by pressing [Ctrl] + [Shift] + [B]. Users browse by folder using the left-hand pane, with that folder’s bookmarks displayed on the right, either as a simple list or as a grid with the associated image used to maximum effect.
Other changes in version 25 are note-worthy by themselves too. The Start page has been redesigned to use tiles instead of screenshots, inspired by Coast, Opera’s iPad and iPhone browser.
Version 25 also debuts a built-in PDF viewer that Opera promises is lightweight and fast, saving users the hassle of switching applications. Another change sees web notifications delivered as normal Windows or Mac notifications.
Version 25 also introduces support for H.264 video and MP3 audio, and sees the long-awaited Linux build move one step closer to final release as it finally joins its Mac and Windows brethren in the beta channel.
Opera Beta 25 is available now as a freeware download for Windows, Mac and Linux, and installs alongside other versions of the browser, including Opera 24 FINAL. Also available is Opera 12.17 FINAL.",no,N/A
Built,A,http://www.panarmenian.net/eng/economy/news/70129/,Armavir hosts public hearings on construction of nuke plant new unit,3/17/11,Armavir,Armavir hosts public hearing on the construction of nuclear plant,"Armavir province of Armenia hosted the second state of public hearings on construction of a new energy unit of the Armenian nuclear power plant (NPP) with participation of representatives of ecological organizations.
“As per the Armenian legislation and international conventions on nuclear energy, we held the first stage of discussions in August 2010,” Armenian Deputy Minister of Energy and Natural Resources Areg Galstyan told journalists on May 17.
The final version of Environmental Impact Assessment was submitted for expertise to the RA Ministry of Nature Protection in March 2011. Besides, the second stage of public hearings is held. Galstyan added that a detailed discussion will be organized in Gyumri next week.
With a projected capacity of 1,000-1,200 megawatts, the new nuclear plant would be more than twice as powerful as Metsamor's sole operating reactor that generates more than 40 percent of Armenia's electricity. The Soviet-built reactor is due to be decommissioned in 2017. According to preliminary estimates, the new atomic block will cost approximately $5 billion. A more precise figure will emerge after the completion of design works.",yes,public
